Hei Irena, here follows a lengthy list of input data,
together with Vijay's data for beta-stable matter.

Enjoy,
Morten



***********   symmetry energy, fig 4
 cd-Bonn int

       .0148      4.0618
       .0297      8.1235
       .0445     12.1853
       .0593     16.2471
       .0741     19.4378
       .0890     21.2742
       .1038     22.9028
       .1186     24.4681
       .1335     26.1659
       .1483     27.8466
       .1631     29.3612
       .1779     30.8169
       .1928     32.2911
       .2076     33.7977
       .2224     35.2760
       .2372     36.6551
       .2521     37.9525
       .2669     39.2190
       .2817     40.5017
       .2966     41.8372
       .3114     43.1704
       .3262     44.4901
       .3410     45.7429
       .3559     46.9462
       .3707     48.1411
       .3855     49.3428
       .4004     50.6012
       .4152     51.9340
       .4300     53.2884
       .4448     54.6551
       .4597     56.0250
       .4745     57.3795
       .4893     58.7175
       .5042     60.0361
       .5190     61.3293
       .5338     62.5909
       .5486     63.7715
       .5635     64.8800
       .5783     65.9604
       .5931     67.0222
       .6079     68.0750
       .6228     69.1285
       .6376     70.2558
       .6524     71.4100
       .6673     72.5724
       .6821     73.7397
       .6969     74.9085
       .7117     76.0752
       .7266     77.2372
       .7414     78.3910
       .7562     79.5322
       .7711     80.6571
       .7859     81.7620
       .8007     82.8432
       .8155     83.8972
       .8304     84.8622
       .8452     85.7536
       .8600     86.6226
       .8749     87.4772
       .8897     88.3254
       .9045     89.1753
       .9193     90.0347
       .9342     90.9140
       .9490     91.9060
       .9638     92.9246
       .9786     93.9690
       .9935     95.0387
      1.0083     96.1328
      1.0231     97.2507
      1.0380     98.3916
      1.0528     99.5549
      1.0676    100.7256
      1.0824    101.9149
      1.0973    103.1267
      1.1121    104.3618
      1.1269    105.6208
      1.1418    106.9045
      1.1566    108.2136
      1.1714    109.5488
      1.1862    110.9109
      1.2011    112.3386
      1.2159    113.7952
      1.2307    115.2761
      1.2456    116.7789
      1.2604    118.3017
      1.2752    119.8421
      1.2900    121.3982
      1.3049    122.9677
      1.3197    124.5485
      1.3345    126.1384
      1.3493    127.7354
      1.3642    129.3373
      1.3790    130.9418
      1.3938    132.5470
      1.4087    134.1506
      1.4235    135.7504
      1.4383    137.3445
      1.4531    138.9305
      1.4680    140.5064
      1.4828    142.0700

reid-93 int
       .0148      3.8553
       .0297      7.7106
       .0445     11.5658
       .0593     15.4211
       .0741     18.4173
       .0890     20.0754
       .1038     21.5209
       .1186     22.9062
       .1335     24.4374
       .1483     25.9481
       .1631     27.2674
       .1779     28.5152
       .1928     29.7765
       .2076     31.0660
       .2224     32.3157
       .2372     33.4461
       .2521     34.4759
       .2669     35.4612
       .2817     36.4450
       .2966     37.4623
       .3114     38.4805
       .3262     39.4994
       .3410     40.5108
       .3559     41.5199
       .3707     42.5358
       .3855     43.5632
       .4004     44.6232
       .4152     45.7217
       .4300     46.8304
       .4448     47.9422
       .4597     49.0501
       .4745     50.1467
       .4893     51.2251
       .5042     52.2779
       .5190     53.2982
       .5338     54.2787
       .5486     55.1576
       .5635     55.9468
       .5783     56.7019
       .5931     57.4357
       .6079     58.1607
       .6228     58.8897
       .6376     59.7219
       .6524     60.5928
       .6673     61.4766
       .6821     62.3682
       .6969     63.2625
       .7117     64.1542
       .7266     65.0298
       .7414     65.8848
       .7562     66.7247
       .7711     67.5467
       .7859     68.3479
       .8007     69.1255
       .8155     69.8766
       .8304     70.5488
       .8452     71.1555
       .8600     71.7407
       .8749     72.3117
       .8897     72.8754
       .9045     73.4390
       .9193     74.0097
       .9342     74.5964
       .9490     75.2759
       .9638     75.9781
       .9786     76.7029
       .9935     77.4502
      1.0083     78.2201
      1.0231     79.0124
      1.0380     79.8272
      1.0528     80.6645
      1.0676     81.5102
      1.0824     82.3759
      1.0973     83.2662
      1.1121     84.1824
      1.1269     85.1259
      1.1418     86.0980
      1.1566     87.1001
      1.1714     88.1336
      1.1862     89.1998
      1.2011     90.4014
      1.2159     91.6401
      1.2307     92.9027
      1.2456     94.1830
      1.2604     95.4746
      1.2752     96.7713
      1.2900     98.0668
      1.3049     99.3549
      1.3197    100.6292
      1.3345    101.8836
      1.3493    103.1118
      1.3642    104.3074
      1.3790    105.4642
      1.3938    106.5761
      1.4087    107.6366
      1.4235    108.6395
      1.4383    109.5785
      1.4531    110.4475
      1.4680    111.2401
      1.4828    111.9500



argonne v18

       .0148      3.8575
       .0297      7.7150
       .0445     11.5724
       .0593     15.4299
       .0741     18.3969
       .0890     20.0338
       .1038     21.6205
       .1186     23.1310
       .1335     24.5642
       .1483     25.9391
       .1631     27.2688
       .1779     28.5752
       .1928     29.9066
       .2076     31.2630
       .2224     32.5865
       .2372     33.8072
       .2521     34.9316
       .2669     35.9951
       .2817     36.9984
       .2966     37.9470
       .3114     38.8885
       .3262     39.8502
       .3410     40.9384
       .3559     42.1271
       .3707     43.3457
       .3855     44.5723
       .4004     45.7339
       .4152     46.8050
       .4300     47.8629
       .4448     48.9213
       .4597     49.9936
       .4745     51.1491
       .4893     52.3531
       .5042     53.5830
       .5190     54.8343
       .5338     56.1022
       .5486     57.3914
       .5635     58.6942
       .5783     59.9950
       .5931     61.2859
       .6079     62.5590
       .6228     63.8061
       .6376     64.9677
       .6524     66.0817
       .6673     67.1630
       .6821     68.2142
       .6969     69.2378
       .7117     70.2364
       .7266     71.2022
       .7414     72.1385
       .7562     73.0614
       .7711     73.9764
       .7859     74.8891
       .8007     75.8049
       .8155     76.7294
       .8304     77.6908
       .8452     78.6871
       .8600     79.7024
       .8749     80.7377
       .8897     81.7940
       .9045     82.8721
       .9193     83.9731
       .9342     85.0978
       .9490     86.2451
       .9638     87.4183
       .9786     88.6186
       .9935     89.8472
      1.0083     91.1054
      1.0231     92.3942
      1.0380     93.7149
      1.0528     95.0687
      1.0676     96.3815
      1.0824     97.7174
      1.0973     99.1021
      1.1121    100.5443
      1.1269    102.0528
      1.1418    103.6364
      1.1566    105.3039
      1.1714    107.0641
      1.1862    108.9258
