From lars.engvik@fys.uio.no Wed Jan 29 17:06:32 1997
Return-Path: <lars.engvik@fys.uio.no>
Received: from ulrik.uio.no by pat.uio.no with local-SMTP (PP) 
          id <13830-0@pat.uio.no>; Wed, 29 Jan 1997 17:06:12 +0100
Received: by tid.uio.no ; Wed, 29 Jan 1997 17:06:11 +0100 (MET)
Date: Wed, 29 Jan 1997 17:06:11 +0100 (MET)
From: lars.engvik@fys.uio.no
Message-Id: <199701291606.RAA28111@tid.uio.no>
To: m.h.jensen@fys.uio.no
Status: RO

Beklager Morten,
jeg hadde helt glemt aa sende dem over.
Her har du resultatene jeg gaar ut fra du har savnet.
For hver potensial er det to ekstra kolonner som er  symmetrienergi
Lars


CD-Bonn


 rho   n_p    u_n    u_p    u_e    ENUC    urcae   urcam   EDENS
 .075   .039  67.90 -19.99  87.89   4.69  78.19 166.09    .36
 .100   .033  64.37 -26.02  90.40   6.19  99.46 189.85    .63
 .125   .036  69.89 -29.86  99.75   6.93 102.14 201.89    .88
 .150   .038  73.68 -33.31 106.99   7.72 106.30 196.70   1.18
 .175   .043  78.22 -37.86 116.08   8.16 101.78 169.88   1.51
 .200   .048  84.39 -39.91 124.30   8.54  96.79 155.68   1.89
 .225   .053  88.92 -42.11 131.02   9.14  94.11 147.71   2.35
 .250   .056  93.10 -43.89 136.99   9.86  92.28 142.13   2.88
 .275   .060  99.00 -43.61 142.61  10.71  90.47 137.35   3.51
 .300   .064 105.33 -43.08 148.42  11.62  87.40 131.63   4.22
 .325   .068 109.49 -44.83 154.32  12.52  83.44 125.33   5.01
 .350   .073 112.05 -48.04 160.09  13.34  79.24 119.09   5.85
 .375   .078 115.62 -50.24 165.86  14.13  74.54 112.59   6.76
 .400   .083 119.15 -52.52 171.67  14.97  69.31 105.71   7.76
 .425   .088 123.09 -54.14 177.23  15.87  64.33  99.30   8.85
 .450   .092 127.28 -55.17 182.45  16.91  59.86  93.60  10.07
 .475   .095 133.22 -54.23 187.45  18.11  55.67  88.31  11.44
 .500   .099 137.59 -54.68 192.26  19.45  51.67  83.34  12.95
 .525   .102 141.50 -55.29 196.79  20.94  48.15  78.95  14.62
 .550   .104 144.79 -56.00 200.79  22.65  45.76  75.83  16.47
 .575   .106 147.77 -56.41 204.17  24.64  44.78  74.27  18.52
 .600   .107 150.38 -57.08 207.45  26.70  43.86  72.81  20.72
 .625   .108 152.02 -58.81 210.83  28.74  42.47  70.88  23.05
 .650   .111 153.81 -61.15 214.95  30.44  38.90  66.68  25.37
 .675   .115 156.37 -62.99 219.35  32.01  34.40  61.54  27.76
 .700   .119 159.11 -64.82 223.93  33.49  29.26  55.78  30.24
 .725   .123 162.84 -65.79 228.63  34.93  23.59  49.49  32.82
 .750   .127 166.14 -67.32 233.46  36.35  17.43  42.73  35.53
 .775   .132 169.16 -68.97 238.13  37.82  11.54  36.28  38.39
 .800   .136 172.11 -70.43 242.53  39.40   6.22  30.46  41.40
 .825   .139 175.89 -70.70 246.59  41.16   1.70  25.50  44.62
 .850   .141 179.10 -71.05 250.15  43.22  -1.62  21.80  48.13
 .875   .144 181.62 -71.97 253.59  45.38  -4.72  18.36  51.83
 .900   .146 183.82 -73.12 256.94  47.60  -7.71  15.03  55.71
 .925   .148 185.94 -74.29 260.23  49.87 -10.63  11.80  59.75
 .950   .149 185.45 -77.62 263.07  52.29 -12.45   9.72  63.97
 .975   .150 187.09 -78.47 265.56  54.83 -13.42   8.52  68.37
1.000   .150 188.69 -79.22 267.91  57.42 -14.09   7.65  72.93
1.025   .151 190.38 -79.83 270.21  60.05 -14.72   6.81  77.64
1.050   .151 192.21 -80.31 272.52  62.68 -15.48   5.85  82.52
1.075   .153 194.44 -80.90 275.34  65.08 -17.70   3.40  87.45
1.100   .155 196.58 -81.75 278.33  67.41 -20.47    .38  92.50
1.125   .157 198.78 -82.60 281.38  69.72 -23.47  -2.86  97.70
1.150   .159 201.03 -83.43 284.46  72.04 -26.65  -6.28 103.07
1.175   .161 203.24 -84.33 287.56  74.37 -29.96  -9.83 108.60
1.200   .163 206.67 -83.99 290.67  76.77 -33.35 -13.45 114.37
1.225   .165 208.98 -84.80 293.79  79.23 -36.85 -17.18 120.38
1.250   .167 211.31 -85.62 296.93  81.71 -40.49 -21.04 126.57
1.275   .170 213.58 -86.49 300.07  84.20 -44.20 -24.97 132.96
1.300   .172 215.78 -87.41 303.20  86.72 -47.93 -28.91 139.53
1.325   .174 217.93 -88.35 306.27  89.26 -51.59 -32.77 146.29
1.350   .176 219.99 -89.25 309.24  91.86 -55.02 -36.39 153.23
1.375   .178 221.96 -90.09 312.05  94.51 -58.05 -39.60 160.35
1.400   .180 223.80 -90.86 314.66  97.23 -60.61 -42.33 167.65
1.425   .182 225.14 -91.92 317.07 100.03 -62.66 -44.52 175.12
1.450   .183 225.46 -93.79 319.26 102.92 -64.15 -46.14 182.80

 DENSITY:
     .075,     .100,     .125,     .150,     .175,
     .200,     .225,     .250,     .275,     .300,
     .325,     .350,     .375,     .400,     .425,
     .450,     .475,     .500,     .525,     .550,
     .575,     .600,     .625,     .650,     .675,
     .700,     .725,     .750,     .775,     .800,
     .825,     .850,     .875,     .900,     .925,
     .950,     .975,    1.000,    1.025,    1.050,
    1.075,    1.100,    1.125,    1.150,    1.175,
    1.200,    1.225,    1.250,    1.275,    1.300,
    1.325,    1.350,    1.375,    1.400,    1.425,
    1.450,


 n_p:
     .039,     .033,     .036,     .038,     .043,
     .048,     .053,     .056,     .060,     .064,
     .068,     .073,     .078,     .083,     .088,
     .092,     .095,     .099,     .102,     .104,
     .106,     .107,     .108,     .111,     .115,
     .119,     .123,     .127,     .132,     .136,
     .139,     .141,     .144,     .146,     .148,
     .149,     .150,     .150,     .151,     .151,
     .153,     .155,     .157,     .159,     .161,
     .163,     .165,     .167,     .170,     .172,
     .174,     .176,     .178,     .180,     .182,
     .183,


 CHEMICAL POTENTIAL neutrons :
   67.902,   64.373,   69.891,   73.682,   78.223,
   84.388,   88.916,   93.105,   98.997,  105.335,
  109.487,  112.050,  115.620,  119.148,  123.088,
  127.284,  133.219,  137.585,  141.499,  144.793,
