    tot dens  n        p        e-     Sigma-   Lambda   Sigma0   Sigma+
    0.020    947.2    913.6     33.6   1191.3   1108.0   1187.3   1184.6
    0.030    948.6    906.0     42.5   1188.9   1105.0   1184.1   1181.8
    0.040    950.0    899.1     50.9   1186.6   1102.2   1181.3   1179.3
    0.050    951.4    892.8     58.6   1184.3   1099.6   1178.9   1177.2
    0.060    952.9    887.0     65.8   1182.2   1097.2   1176.9   1175.4
    0.070    954.4    881.8     72.6   1180.1   1095.1   1175.1   1173.8
    0.080    955.9    877.0     78.9   1178.0   1093.1   1173.7   1172.6
    0.090    957.5    872.8     84.8   1176.1   1091.4   1172.5   1171.6
    0.100    959.2    868.9     90.3   1174.1   1089.8   1171.5   1170.8
    0.110    961.0    865.5     95.5   1172.3   1088.3   1170.7   1170.3
    0.120    962.8    862.4    100.4   1170.5   1087.0   1170.2   1169.9
    0.130    964.7    859.8    105.0   1168.8   1085.9   1169.8   1169.6
    0.140    966.7    857.5    109.2   1167.1   1084.9   1169.5   1169.5
    0.150    968.8    855.7    113.1   1165.5   1084.0   1169.4   1169.6
    0.160    970.9    854.1    116.7   1164.0   1083.2   1169.5   1169.7
    0.170    973.1    852.9    120.2   1162.5   1082.6   1169.5   1169.9
    0.180    975.4    852.0    123.5   1161.1   1082.0   1169.7   1170.1
    0.190    977.9    851.3    126.6   1159.8   1081.5   1169.9   1170.4
    0.200    980.4    850.8    129.6   1158.5   1081.1   1170.1   1170.7
    0.210    983.2    850.5    132.7   1157.2   1080.6   1170.0   1170.5
    0.220    986.0    850.4    135.6   1156.0   1080.2   1169.9   1170.3
    0.230    989.0    850.5    138.5   1154.9   1079.9   1169.8   1170.2
    0.240    992.1    850.7    141.4   1153.8   1079.7   1169.7   1170.2
    0.250    995.3    851.1    144.1   1152.7   1079.5   1169.6   1170.2
    0.260    998.5    851.7    146.8   1151.7   1079.4   1169.6   1170.3
    0.270   1001.8    852.6    149.1   1150.9   1079.4   1169.6   1170.5
    0.280   1003.2    854.9    148.3   1151.5   1078.9   1169.6   1171.2
    0.290   1004.7    857.3    147.4   1152.0   1078.4   1169.7   1171.9
    0.300   1006.2    859.8    146.4   1152.6   1078.1   1169.7   1172.7
    0.310   1007.8    862.4    145.3   1153.1   1077.8   1169.8   1173.6
    0.320   1009.3    865.2    144.2   1153.5   1077.6   1169.9   1174.5
    0.330   1010.9    868.0    142.9   1153.9   1077.4   1170.0   1175.6
    0.340   1012.5    871.0    141.6   1154.1   1077.3   1170.2   1176.6
    0.350   1014.1    874.0    140.2   1154.3   1077.2   1170.4   1177.8
    0.360   1015.7    877.1    138.6   1154.4   1077.1   1170.6   1179.0
    0.370   1017.3    880.3    137.0   1154.4   1077.1   1170.9   1180.3
    0.380   1018.9    883.6    135.4   1154.3   1077.1   1171.2   1181.6
    0.390   1020.5    886.9    133.6   1154.1   1077.1   1171.5   1183.0
    0.400   1022.1    890.4    131.7   1153.9   1077.1   1171.8   1184.4
    0.410   1023.6    894.0    129.6   1153.3   1076.9   1172.2   1185.8
    0.420   1025.2    897.7    127.5   1152.7   1076.7   1172.7   1187.3
    0.430   1026.8    901.4    125.4   1152.2   1076.5   1173.1   1188.8
    0.440   1028.5    905.2    123.3   1151.8   1076.3   1173.4   1190.2
    0.450   1030.3    909.1    121.2   1151.5   1076.1   1173.8   1191.6
    0.460   1032.1    913.0    119.1   1151.2   1075.8   1174.1   1193.0
    0.470   1034.0    916.9    117.1   1151.1   1075.6   1174.4   1194.3
    0.480   1035.9    920.9    115.0   1151.0   1075.3   1174.6   1195.7
    0.490   1037.9    924.9    113.0   1150.9   1075.1   1174.8   1197.0
    0.500   1040.0    929.0    111.0   1150.9   1074.9   1175.1   1198.3
    0.510   1042.1    933.0    109.0   1151.1   1074.7   1175.4   1199.5
    0.520   1044.2    937.2    107.0   1151.2   1074.6   1175.8   1200.8
