   .10000000     .00000000
   .00000000  -26.24900000  -26.24900000
   .00793560  -26.24100000  -26.24000000
   .01587100  -26.23400000  -26.23000000
   .02380700  -26.22700000  -26.21700000
   .03174200  -26.21900000  -26.20200000
   .03967800  -26.21200000  -26.18400000
   .04761400  -26.20400000  -26.16400000
   .05554900  -26.19600000  -26.14200000
   .06348500  -26.18800000  -26.11800000
   .07142000  -26.18000000  -26.09100000
   .07935600  -26.17200000  -26.06200000
   .08729100  -26.16400000  -26.03100000
   .09522700  -26.15500000  -25.99700000
   .10316000  -26.14700000  -25.96100000
   .11110000  -26.13800000  -25.92300000
   .11903000  -26.12900000  -25.88200000
   .12697000  -26.12000000  -25.83800000
   .13490000  -26.11000000  -25.79200000
   .14284000  -26.10000000  -25.74400000
   .15078000  -26.09000000  -25.69300000
   .15871000  -26.08000000  -25.64000000
   .16665000  -26.06900000  -25.58400000
   .17458000  -26.05800000  -25.52600000
   .18252000  -26.04600000  -25.46500000
   .19045000  -26.03500000  -25.40200000
   .19839000  -26.02300000  -25.33600000
   .20633000  -26.01000000  -25.26700000
   .21426000  -25.99700000  -25.19600000
   .22220000  -25.98400000  -25.12200000
   .23013000  -25.97000000  -25.04600000
   .23807000  -25.95500000  -24.96600000
   .24600000  -25.94100000  -24.88500000
   .25394000  -25.92500000  -24.80000000
   .26187000  -25.91000000  -24.71300000
   .26981000  -25.89300000  -24.62300000
   .27775000  -25.87600000  -24.53000000
   .28568000  -25.85900000  -24.43500000
   .29362000  -25.84100000  -24.33700000
   .30155000  -25.82300000  -24.23600000
   .30949000  -25.80300000  -24.13200000
   .31742000  -25.78400000  -24.02500000
   .32536000  -25.76300000  -23.91600000
   .33329000  -25.74200000  -23.80400000
   .34123000  -25.72000000  -23.68800000
   .34917000  -25.69800000  -23.57000000
   .35710000  -25.67500000  -23.45000000
   .36504000  -25.65100000  -23.32600000
   .37297000  -25.62600000  -23.19900000
   .38091000  -25.60100000  -23.06900000
   .38884000  -25.57500000  -22.93700000
   .39678000  -25.54900000  -22.80200000
   .40471000  -25.52200000  -22.66300000
   .41265000  -25.49400000  -22.52200000
   .42059000  -25.46500000  -22.37800000
   .42852000  -25.43600000  -22.23100000
   .43646000  -25.40600000  -22.08200000
   .44439000  -25.37500000  -21.92900000
   .45233000  -25.34400000  -21.77400000
   .46026000  -25.31200000  -21.61600000
   .46820000  -25.28000000  -21.45500000
   .47614000  -25.24700000  -21.29100000
   .48407000  -25.21400000  -21.12500000
   .49201000  -25.17900000  -20.95500000
   .49994000  -25.14500000  -20.78300000
   .50788000  -25.10900000  -20.60800000
   .51581000  -25.07300000  -20.43000000
   .52375000  -25.03700000  -20.25000000
   .53168000  -25.00000000  -20.06700000
   .53962000  -24.96200000  -19.88100000
   .54756000  -24.92400000  -19.69200000
   .55549000  -24.88500000  -19.50100000
   .56343000  -24.84600000  -19.30700000
   .57136000  -24.80600000  -19.11000000
   .57930000  -24.76600000  -18.91000000
   .58723000  -24.72500000  -18.70800000
   .59517000  -24.68400000  -18.50300000
   .60310000  -24.64200000  -18.29500000
   .61104000  -24.60000000  -18.08500000
   .61898000  -24.55700000  -17.87200000
   .62691000  -24.51400000  -17.65600000
   .63485000  -24.47100000  -17.43800000
   .64278000  -24.42700000  -17.21700000
   .65072000  -24.38200000  -16.99300000
   .65865000  -24.33700000  -16.76700000
   .66659000  -24.29200000  -16.53800000
