   .10000000    1.42050000
   .00000000  -35.76900000  -35.76900000
   .00793560  -35.76300000  -35.76200000
   .01587100  -35.75700000  -35.75200000
   .02380700  -35.75100000  -35.73900000
   .03174200  -35.74400000  -35.72400000
   .03967800  -35.73800000  -35.70600000
   .04761400  -35.73200000  -35.68500000
   .05554900  -35.72500000  -35.66100000
   .06348500  -35.71900000  -35.63500000
   .07142000  -35.71200000  -35.60600000
   .07935600  -35.70500000  -35.57500000
   .08729100  -35.69800000  -35.54000000
   .09522700  -35.69100000  -35.50300000
   .10316000  -35.68400000  -35.46300000
   .11110000  -35.67600000  -35.42100000
   .11903000  -35.66900000  -35.37500000
   .12697000  -35.66100000  -35.32700000
   .13490000  -35.65300000  -35.27600000
   .14284000  -35.64500000  -35.22200000
   .15078000  -35.63600000  -35.16500000
   .15871000  -35.62700000  -35.10500000
   .16665000  -35.61800000  -35.04300000
   .17458000  -35.60900000  -34.97700000
   .18252000  -35.59900000  -34.90900000
   .19045000  -35.58900000  -34.83800000
   .19839000  -35.57900000  -34.76300000
   .20633000  -35.56800000  -34.68600000
   .21426000  -35.55700000  -34.60600000
   .22220000  -35.54600000  -34.52300000
   .23013000  -35.53400000  -34.43700000
   .23807000  -35.52200000  -34.34800000
   .24600000  -35.51000000  -34.25600000
   .25394000  -35.49700000  -34.16000000
   .26187000  -35.48300000  -34.06200000
   .26981000  -35.46900000  -33.96100000
   .27775000  -35.45500000  -33.85700000
   .28568000  -35.44000000  -33.74900000
   .29362000  -35.42500000  -33.63900000
   .30155000  -35.40900000  -33.52500000
   .30949000  -35.39300000  -33.40800000
   .31742000  -35.37600000  -33.28800000
   .32536000  -35.35900000  -33.16500000
   .33329000  -35.34100000  -33.03900000
   .34123000  -35.32200000  -32.90900000
   .34917000  -35.30300000  -32.77700000
   .35710000  -35.28300000  -32.64100000
   .36504000  -35.26300000  -32.50200000
   .37297000  -35.24200000  -32.36000000
   .38091000  -35.22100000  -32.21400000
   .38884000  -35.19900000  -32.06500000
   .39678000  -35.17600000  -31.91400000
   .40471000  -35.15300000  -31.75900000
   .41265000  -35.12900000  -31.60000000
   .42059000  -35.10400000  -31.43900000
   .42852000  -35.07900000  -31.27400000
   .43646000  -35.05400000  -31.10700000
   .44439000  -35.02800000  -30.93600000
   .45233000  -35.00100000  -30.76200000
   .46026000  -34.97400000  -30.58500000
   .46820000  -34.94700000  -30.40400000
   .47614000  -34.91800000  -30.22100000
   .48407000  -34.89000000  -30.03400000
   .49201000  -34.86100000  -29.84500000
   .49994000  -34.83100000  -29.65200000
   .50788000  -34.80100000  -29.45600000
   .51581000  -34.77000000  -29.25700000
   .52375000  -34.73900000  -29.05500000
   .53168000  -34.70800000  -28.85000000
   .53962000  -34.67600000  -28.64200000
   .54756000  -34.64300000  -28.43100000
   .55549000  -34.61000000  -28.21600000
   .56343000  -34.57700000  -27.99900000
   .57136000  -34.54300000  -27.77900000
   .57930000  -34.50900000  -27.55500000
   .58723000  -34.47400000  -27.32900000
   .59517000  -34.43900000  -27.09900000
   .60310000  -34.40400000  -26.86700000
   .61104000  -34.36800000  -26.63100000
   .61898000  -34.33200000  -26.39300000
   .62691000  -34.29500000  -26.15100000
   .63485000  -34.25800000  -25.90700000
   .64278000  -34.22100000  -25.66000000
   .65072000  -34.18300000  -25.40900000
   .65865000  -34.14500000  -25.15600000
   .66659000  -34.10700000  -24.89900000
   .67452000  -34.06800000  -24.64000000
   .68246000  -34.02900000  -24.37800000
   .69040000  -33.98900000  -24.11300000
   .69833000  -33.95000000  -23.84500000
   .70627000  -33.91000000  -23.57300000
   .71420000  -33.86900000  -23.30000000
   .72214000  -33.82800000  -23.02300000
   .73007000  -33.78700000  -22.74300000
   .73801000  -33.74600000  -22.46000000
   .74595000  -33.70400000  -22.17400000
   .75388000  -33.66300000  -21.88600000
   .76182000  -33.62000000  -21.59400000
   .76975000  -33.57800000  -21.30000000
   .77769000  -33.53500000  -21.00300000
   .78562000  -33.49200000  -20.70300000
   .79356000  -33.44800000  -20.39900000
   .80149000  -33.40500000  -20.09300000
   .80943000  -33.36100000  -19.78500000
   .81737000  -33.31600000  -19.47300000
   .82530000  -33.27200000  -19.15800000
   .83324000  -33.22700000  -18.84000000
   .84117000  -33.18100000  -18.52000000
   .84911000  -33.13600000  -18.19600000
   .85704000  -33.09000000  -17.87000000
   .86498000  -33.04400000  -17.54000000
   .87291000  -32.99700000  -17.20800000
   .88085000  -32.95100000  -16.87300000
   .88879000  -32.90300000  -16.53500000
   .89672000  -32.85600000  -16.19400000
   .90466000  -32.80800000  -15.85000000
   .91259000  -32.76000000  -15.50300000
   .92053000  -32.71200000  -15.15400000
   .92846000  -32.66400000  -14.80100000
   .93640000  -32.61500000  -14.44500000
   .94433000  -32.56600000  -14.08700000
   .95227000  -32.51600000  -13.72600000
   .96021000  -32.46600000  -13.36200000
   .96814000  -32.41600000  -12.99400000
   .97608000  -32.36600000  -12.62400000
   .98401000  -32.31500000  -12.25100000
   .99195000  -32.26400000  -11.87500000
   .99988000  -32.21300000  -11.49700000
  1.00780000  -32.16200000  -11.11500000
  1.01580000  -32.11000000  -10.73000000
  1.02370000  -32.05800000  -10.34300000
  1.03160000  -32.00500000   -9.95260000
  1.03960000  -31.95300000   -9.55930000
  1.04750000  -31.90000000   -9.16310000
  1.05540000  -31.84600000   -8.76400000
  1.06340000  -31.79300000   -8.36200000
  1.07130000  -31.73900000   -7.95710000
  1.07920000  -31.68500000   -7.54930000
  1.08720000  -31.63000000   -7.13860000
  1.09510000  -31.57500000   -6.72500000
  1.10300000  -31.52000000   -6.30860000
  1.11100000  -31.46500000   -5.88930000
  1.11890000  -31.41000000   -5.46710000
  1.12690000  -31.35400000   -5.04200000
  1.13480000  -31.29800000   -4.61410000
  1.14270000  -31.24200000   -4.18340000
  1.15070000  -31.18500000   -3.74980000
  1.15860000  -31.12800000   -3.31330000
  1.16650000  -31.07100000   -2.87410000
  1.17450000  -31.01400000   -2.43200000
  1.18240000  -30.95700000   -1.98710000
  1.19030000  -30.89900000   -1.53940000
  1.19830000  -30.84200000   -1.08900000
  1.20620000  -30.78400000    -.63567000
  1.21410000  -30.72600000    -.17960000
  1.22210000  -30.66800000     .27925000
  1.23000000  -30.60900000     .74087000
  1.23800000  -30.55100000    1.20530000
  1.24590000  -30.49200000    1.67240000
  1.25380000  -30.43300000    2.14230000
  1.26180000  -30.37400000    2.61500000
  1.26970000  -30.31500000    3.09040000
  1.27760000  -30.25600000    3.56850000
  1.28560000  -30.19600000    4.04930000
  1.29350000  -30.13700000    4.53290000
  1.30140000  -30.07700000    5.01920000
  1.30940000  -30.01700000    5.50820000
  1.31730000  -29.95800000    5.99990000
  1.32520000  -29.89800000    6.49430000
  1.33320000  -29.83800000    6.99140000
  1.34110000  -29.77800000    7.49120000
  1.34900000  -29.71800000    7.99360000
  1.35700000  -29.65800000    8.49870000
  1.36490000  -29.59700000    9.00650000
  1.37290000  -29.53700000    9.51690000
  1.38080000  -29.47700000   10.03000000
  1.38870000  -29.41700000   10.54600000
  1.39670000  -29.35600000   11.06400000
  1.40460000  -29.29600000   11.58500000
  1.41250000  -29.23500000   12.10900000
  1.42050000  -29.17500000   12.63500000
   .20000000    1.77410000
   .00000000  -63.72000000  -63.72000000
   .00991140  -63.70000000  -63.69800000
   .01982300  -63.68000000  -63.67100000
   .02973400  -63.65900000  -63.64100000
   .03964600  -63.63900000  -63.60600000
   .04955700  -63.61800000  -63.56700000
   .05946800  -63.59700000  -63.52400000
   .06938000  -63.57600000  -63.47600000
   .07929100  -63.55400000  -63.42400000
   .08920300  -63.53200000  -63.36700000
   .09911400  -63.51000000  -63.30700000
   .10903000  -63.48800000  -63.24100000
   .11894000  -63.46500000  -63.17200000
   .12885000  -63.44100000  -63.09700000
   .13876000  -63.41800000  -63.01900000
