   .10000000     .45589000
   .00000000  -65.84700000  -65.84700000
   .00793560  -65.83600000  -65.83500000
   .01587100  -65.82400000  -65.81900000
   .02380700  -65.81300000  -65.80100000
   .03174200  -65.80200000  -65.78100000
   .03967800  -65.79000000  -65.75700000
   .04761400  -65.77800000  -65.73100000
   .05554900  -65.76600000  -65.70200000
   .06348500  -65.75400000  -65.67100000
   .07142000  -65.74200000  -65.63600000
   .07935600  -65.73000000  -65.59900000
   .08729100  -65.71700000  -65.55900000
   .09522700  -65.70400000  -65.51600000
   .10316000  -65.69100000  -65.47000000
   .11110000  -65.67800000  -65.42200000
   .11903000  -65.66400000  -65.37000000
   .12697000  -65.65000000  -65.31600000
   .13490000  -65.63600000  -65.25800000
   .14284000  -65.62100000  -65.19800000
   .15078000  -65.60600000  -65.13400000
   .15871000  -65.59000000  -65.06800000
   .16665000  -65.57400000  -64.99800000
   .17458000  -65.55800000  -64.92500000
   .18252000  -65.54100000  -64.85000000
   .19045000  -65.52300000  -64.77100000
   .19839000  -65.50500000  -64.68900000
   .20633000  -65.48700000  -64.60400000
   .21426000  -65.46800000  -64.51500000
   .22220000  -65.44800000  -64.42400000
   .23013000  -65.42800000  -64.32900000
   .23807000  -65.40700000  -64.23100000
   .24600000  -65.38500000  -64.12900000
   .25394000  -65.36300000  -64.02500000
   .26187000  -65.34000000  -63.91700000
   .26981000  -65.31600000  -63.80500000
   .27775000  -65.29100000  -63.69100000
   .28568000  -65.26600000  -63.57300000
   .29362000  -65.24000000  -63.45100000
   .30155000  -65.21300000  -63.32600000
   .30949000  -65.18500000  -63.19800000
   .31742000  -65.15700000  -63.06600000
   .32536000  -65.12700000  -62.93100000
   .33329000  -65.09700000  -62.79200000
   .34123000  -65.06600000  -62.65000000
   .34917000  -65.03300000  -62.50400000
   .35710000  -65.00000000  -62.35400000
   .36504000  -64.96600000  -62.20100000
   .37297000  -64.93100000  -62.04400000
   .38091000  -64.89500000  -61.88400000
   .38884000  -64.85800000  -61.72000000
   .39678000  -64.82000000  -61.55300000
   .40471000  -64.78100000  -61.38200000
   .41265000  -64.74100000  -61.20800000
   .42059000  -64.70000000  -61.03000000
   .42852000  -64.65900000  -60.84800000
   .43646000  -64.61600000  -60.66300000
   .44439000  -64.57300000  -60.47500000
   .45233000  -64.52900000  -60.28300000
   .46026000  -64.48400000  -60.08800000
   .46820000  -64.43800000  -59.89000000
   .47614000  -64.39200000  -59.68800000
   .48407000  -64.34500000  -59.48200000
