   .10000000     .00000000
   .00000000  -22.88900000  -22.88900000
   .00793560  -22.89100000  -22.89000000
   .01587100  -22.89200000  -22.88800000
   .02380700  -22.89300000  -22.88400000
   .03174200  -22.89500000  -22.87800000
   .03967800  -22.89600000  -22.87000000
   .04761400  -22.89700000  -22.86000000
   .05554900  -22.89800000  -22.84800000
   .06348500  -22.90000000  -22.83400000
   .07142000  -22.90100000  -22.81800000
   .07935600  -22.90200000  -22.80000000
   .08729100  -22.90400000  -22.78000000
   .09522700  -22.90500000  -22.75700000
   .10316000  -22.90600000  -22.73300000
   .11110000  -22.90700000  -22.70700000
   .11903000  -22.90900000  -22.67800000
   .12697000  -22.91000000  -22.64800000
   .13490000  -22.91100000  -22.61500000
   .14284000  -22.91200000  -22.58100000
   .15078000  -22.91400000  -22.54400000
   .15871000  -22.91500000  -22.50500000
   .16665000  -22.91600000  -22.46400000
   .17458000  -22.91700000  -22.42200000
   .18252000  -22.91800000  -22.37700000
   .19045000  -22.91900000  -22.33000000
   .19839000  -22.92100000  -22.28100000
   .20633000  -22.92200000  -22.23000000
   .21426000  -22.92300000  -22.17600000
   .22220000  -22.92400000  -22.12100000
   .23013000  -22.92500000  -22.06400000
   .23807000  -22.92600000  -22.00500000
   .24600000  -22.92700000  -21.94300000
   .25394000  -22.92800000  -21.88000000
   .26187000  -22.92900000  -21.81400000
   .26981000  -22.93000000  -21.74600000
   .27775000  -22.93100000  -21.67700000
   .28568000  -22.93200000  -21.60500000
   .29362000  -22.93300000  -21.53100000
   .30155000  -22.93400000  -21.45500000
   .30949000  -22.93400000  -21.37700000
   .31742000  -22.93500000  -21.29700000
   .32536000  -22.93600000  -21.21500000
   .33329000  -22.93700000  -21.13100000
   .34123000  -22.93800000  -21.04400000
   .34917000  -22.93800000  -20.95600000
   .35710000  -22.93900000  -20.86600000
   .36504000  -22.94000000  -20.77300000
   .37297000  -22.94000000  -20.67900000
   .38091000  -22.94100000  -20.58200000
   .38884000  -22.94200000  -20.48300000
   .39678000  -22.94200000  -20.38200000
   .40471000  -22.94300000  -20.28000000
   .41265000  -22.94300000  -20.17500000
   .42059000  -22.94400000  -20.06800000
   .42852000  -22.94400000  -19.95900000
   .43646000  -22.94500000  -19.84800000
   .44439000  -22.94500000  -19.73400000
   .45233000  -22.94600000  -19.61900000
   .46026000  -22.94600000  -19.50200000
   .46820000  -22.94700000  -19.38300000
   .47614000  -22.94700000  -19.26100000
   .48407000  -22.94800000  -19.13800000
   .49201000  -22.94800000  -19.01200000
   .49994000  -22.94900000  -18.88500000
   .50788000  -22.94900000  -18.75500000
   .51581000  -22.95000000  -18.62400000
   .52375000  -22.95000000  -18.49000000
   .53168000  -22.95100000  -18.35400000
   .53962000  -22.95100000  -18.21700000
   .54756000  -22.95200000  -18.07700000
   .55549000  -22.95200000  -17.93500000
   .56343000  -22.95300000  -17.79100000
   .57136000  -22.95300000  -17.64500000
   .57930000  -22.95400000  -17.49800000
   .58723000  -22.95400000  -17.34800000
   .59517000  -22.95500000  -17.19600000
   .60310000  -22.95600000  -17.04200000
   .61104000  -22.95600000  -16.88600000
   .61898000  -22.95700000  -16.72800000
   .62691000  -22.95800000  -16.56800000
   .63485000  -22.95900000  -16.40600000
   .64278000  -22.96000000  -16.24200000
   .65072000  -22.96000000  -16.07600000
   .65865000  -22.96100000  -15.90800000
   .66659000  -22.96200000  -15.73800000
   .67452000  -22.96300000  -15.56600000
   .68246000  -22.96400000  -15.39200000
   .69040000  -22.96500000  -15.21500000
   .69833000  -22.96600000  -15.03700000
   .70627000  -22.96700000  -14.85700000
   .71420000  -22.96900000  -14.67500000
   .72214000  -22.97000000  -14.49100000
   .73007000  -22.97100000  -14.30500000
   .73801000  -22.97300000  -14.11700000
   .74595000  -22.97400000  -13.92700000
   .75388000  -22.97600000  -13.73500000
   .76182000  -22.97700000  -13.54100000
   .76975000  -22.97900000  -13.34500000
   .77769000  -22.98000000  -13.14700000
   .78562000  -22.98200000  -12.94700000
   .79356000  -22.98400000  -12.74500000
   .80149000  -22.98600000  -12.54100000
   .80943000  -22.98700000  -12.33500000
   .81737000  -22.98900000  -12.12700000
   .82530000  -22.99100000  -11.91700000
   .83324000  -22.99400000  -11.70500000
   .84117000  -22.99600000  -11.49100000
   .84911000  -22.99800000  -11.27600000
   .85704000  -23.00000000  -11.05800000
   .86498000  -23.00300000  -10.83800000
   .87291000  -23.00500000  -10.61600000
   .88085000  -23.00800000  -10.39200000
   .88879000  -23.01000000  -10.16700000
   .89672000  -23.01300000   -9.93890000
   .90466000  -23.01600000   -9.70930000
   .91259000  -23.01800000   -9.47760000
   .92053000  -23.02100000   -9.24400000
   .92846000  -23.02400000   -9.00840000
   .93640000  -23.02700000   -8.77090000
   .94433000  -23.03100000   -8.53140000
   .95227000  -23.03400000   -8.28990000
   .96021000  -23.03700000   -8.04650000
   .96814000  -23.04100000   -7.80110000
   .97608000  -23.04400000   -7.55370000
   .98401000  -23.04800000   -7.30440000
   .99195000  -23.05100000   -7.05310000
   .99988000  -23.05500000   -6.79990000
  1.00780000  -23.05900000   -6.54470000
  1.01580000  -23.06300000   -6.28760000
  1.02370000  -23.06700000   -6.02850000
  1.03160000  -23.07100000   -5.76750000
  1.03960000  -23.07500000   -5.50450000
  1.04750000  -23.08000000   -5.23950000
  1.05540000  -23.08400000   -4.97260000
  1.06340000  -23.08900000   -4.70380000
  1.07130000  -23.09300000   -4.43300000
  1.07920000  -23.09800000   -4.16030000
  1.08720000  -23.10300000   -3.88560000
  1.09510000  -23.10800000   -3.60890000
  1.10300000  -23.11300000   -3.33040000
  1.11100000  -23.11800000   -3.04980000
  1.11890000  -23.12300000   -2.76730000
  1.12690000  -23.12800000   -2.48280000
  1.13480000  -23.13400000   -2.19640000
  1.14270000  -23.13900000   -1.90800000
  1.15070000  -23.14500000   -1.61760000
  1.15860000  -23.15000000   -1.32530000
  1.16650000  -23.15600000   -1.03100000
  1.17450000  -23.16200000    -.73467000
  1.18240000  -23.16800000    -.43641000
  1.19030000  -23.17300000    -.13616000
  1.19830000  -23.17900000     .16606000
  1.20620000  -23.18500000     .47028000
  1.21410000  -23.19200000     .77647000
  1.22210000  -23.19800000    1.08470000
  1.23000000  -23.20400000    1.39480000
  1.23800000  -23.21000000    1.70700000
  1.24590000  -23.21600000    2.02120000
  1.25380000  -23.22300000    2.33730000
  1.26180000  -23.22900000    2.65550000
  1.26970000  -23.23600000    2.97570000
  1.27760000  -23.24200000    3.29780000
  1.28560000  -23.24900000    3.62200000
  1.29350000  -23.25500000    3.94820000
  1.30140000  -23.26200000    4.27640000
  1.30940000  -23.26800000    4.60660000
  1.31730000  -23.27500000    4.93890000
  1.32520000  -23.28200000    5.27310000
  1.33320000  -23.28900000    5.60940000
  1.34110000  -23.29500000    5.94770000
  1.34900000  -23.30200000    6.28800000
  1.35700000  -23.30900000    6.63030000
  1.36490000  -23.31600000    6.97470000
  1.37290000  -23.32300000    7.32110000
  1.38080000  -23.32900000    7.66950000
  1.38870000  -23.33600000    8.02000000
  1.39670000  -23.34300000    8.37250000
  1.40460000  -23.35000000    8.72710000
  1.41250000  -23.35700000    9.08370000
  1.42050000  -23.36400000    9.44230000
   .20000000     .00000000
   .00000000  -38.65800000  -38.65800000
   .00991140  -38.65800000  -38.65700000
   .01982300  -38.65800000  -38.65200000
   .02973400  -38.65800000  -38.64400000
   .03964600  -38.65800000  -38.63300000
   .04955700  -38.65800000  -38.61800000
   .05946800  -38.65800000  -38.60000000
   .06938000  -38.65800000  -38.58000000
   .07929100  -38.65800000  -38.55500000
   .08920300  -38.65800000  -38.52800000
   .09911400  -38.65700000  -38.49800000
   .10903000  -38.65700000  -38.46400000
   .11894000  -38.65700000  -38.42700000
   .12885000  -38.65700000  -38.38700000
   .13876000  -38.65700000  -38.34400000
   .14867000  -38.65600000  -38.29700000
   .15858000  -38.65600000  -38.24700000
   .16849000  -38.65600000  -38.19400000
   .17841000  -38.65500000  -38.13800000
   .18832000  -38.65500000  -38.07800000
   .19823000  -38.65500000  -38.01600000
   .20814000  -38.65400000  -37.95000000
   .21805000  -38.65400000  -37.88100000
   .22796000  -38.65300000  -37.80800000
   .23787000  -38.65300000  -37.73300000
   .24778000  -38.65200000  -37.65400000
   .25770000  -38.65200000  -37.57200000
   .26761000  -38.65100000  -37.48700000
   .27752000  -38.65000000  -37.39800000
   .28743000  -38.64900000  -37.30600000
   .29734000  -38.64900000  -37.21100000
   .30725000  -38.64800000  -37.11300000
   .31716000  -38.64700000  -37.01100000
   .32708000  -38.64600000  -36.90700000
   .33699000  -38.64500000  -36.79900000
   .34690000  -38.64400000  -36.68700000
   .35681000  -38.64300000  -36.57300000
   .36672000  -38.64200000  -36.45500000
   .37663000  -38.64000000  -36.33400000
   .38654000  -38.63900000  -36.21000000
   .39646000  -38.63800000  -36.08200000
   .40637000  -38.63600000  -35.95100000
   .41628000  -38.63500000  -35.81700000
   .42619000  -38.63300000  -35.68000000
   .43610000  -38.63200000  -35.53900000
   .44601000  -38.63000000  -35.39600000
   .45592000  -38.62800000  -35.24800000
   .46584000  -38.62600000  -35.09800000
   .47575000  -38.62400000  -34.94400000
   .48566000  -38.62200000  -34.78700000
   .49557000  -38.62000000  -34.62700000
   .50548000  -38.61800000  -34.46400000
   .51539000  -38.61600000  -34.29700000
   .52530000  -38.61400000  -34.12700000
   .53522000  -38.61100000  -33.95400000
   .54513000  -38.60900000  -33.77700000
   .55504000  -38.60700000  -33.59800000
   .56495000  -38.60400000  -33.41500000
   .57486000  -38.60200000  -33.22900000
   .58477000  -38.59900000  -33.03900000
   .59468000  -38.59600000  -32.84600000
   .60460000  -38.59400000  -32.65000000
   .61451000  -38.59100000  -32.45100000
   .62442000  -38.58800000  -32.24900000
   .63433000  -38.58500000  -32.04300000
   .64424000  -38.58200000  -31.83400000
   .65415000  -38.57900000  -31.62200000
   .66406000  -38.57600000  -31.40700000
   .67397000  -38.57300000  -31.18800000
   .68389000  -38.57000000  -30.96600000
   .69380000  -38.56700000  -30.74100000
   .70371000  -38.56400000  -30.51300000
   .71362000  -38.56100000  -30.28100000
   .72353000  -38.55800000  -30.04600000
   .73344000  -38.55400000  -29.80800000
   .74335000  -38.55100000  -29.56700000
   .75327000  -38.54800000  -29.32200000
   .76318000  -38.54400000  -29.07500000
   .77309000  -38.54100000  -28.82400000
   .78300000  -38.53800000  -28.57000000
   .79291000  -38.53400000  -28.31200000
   .80282000  -38.53100000  -28.05200000
   .81273000  -38.52700000  -27.78800000
   .82265000  -38.52400000  -27.52100000
   .83256000  -38.52000000  -27.25100000
   .84247000  -38.51700000  -26.97700000
   .85238000  -38.51300000  -26.70000000
   .86229000  -38.51000000  -26.42100000
   .87220000  -38.50600000  -26.13800000
   .88211000  -38.50300000  -25.85100000
   .89203000  -38.49900000  -25.56200000
   .90194000  -38.49600000  -25.26900000
   .91185000  -38.49200000  -24.97300000
   .92176000  -38.48800000  -24.67400000
   .93167000  -38.48500000  -24.37200000
